football game;,2013-11-07 00:28:38,2013-11-07 23:52:05,16,10670,37.124503000000004,-122.045672,small_red
protest;,2013-11-07 09:34:48,2013-11-07 18:14:17,10,8320,37.68443298,-122.46568308,small_red
rain;,2013-11-07 01:17:30,2013-11-07 22:56:52,13,5768,37.512249,-122.35505,small_red
shooting;,2013-11-07 00:29:15,2013-11-07 23:29:26,11,5768,37.512249,-122.35505,small_red
traffic;,2013-11-07 01:22:07,2013-11-08 00:12:36,36,5768,37.512249,-122.35505,small_red
weather;,2013-11-07 00:41:00,2013-11-07 23:48:53,39,8464,37.70813196,-122.51368188,small_red
BLOCKED;,2013-11-08 17:00:03,2013-11-08 17:10:38,69,32400,32.528832,-124.482003,small_red
Tournament;,2013-11-08 00:27:12,2013-11-08 21:31:58,13,8380,37.632226,-122.35588100000001,small_red
Traffic;,2013-11-08 14:34:33,2013-11-08 22:33:58,10,5768,37.512249,-122.35505,small_red
accident;,2013-11-08 09:12:12,2013-11-08 21:25:54,11,5796,37.566037,-122.515326,small_red
concert;,2013-11-08 00:23:48,2013-11-08 23:31:42,21,8274,37.66133403,-122.50038384,small_red
fog;,2013-11-08 07:15:38,2013-11-08 20:56:21,47,5768,37.512249,-122.35505,small_red
football game;,2013-11-08 00:20:10,2013-11-08 23:55:00,20,8245,37.633916,-122.471883,small_red
rain;,2013-11-08 01:43:30,2013-11-08 23:49:20,14,8464,37.70813196,-122.51368188,small_red
shooting;,2013-11-08 00:26:42,2013-11-08 23:56:09,15,1107,37.053858,-122.588177,small_red
snow;,2013-11-08 00:41:35,2013-11-08 23:58:01,16,8380,37.632226,-122.35588100000001,small_red
traffic;,2013-11-08 01:37:19,2013-11-08 23:04:29,40,5768,37.512249,-122.35505,small_red
weather;,2013-11-08 01:08:23,2013-11-08 23:58:05,30,5768,37.512249,-122.35505,small_red
Tournament;,2013-11-09 10:00:37,2013-11-09 20:45:05,14,20058,37.618957,-121.95641,small_red
accident;,2013-11-09 05:20:04,2013-11-09 23:08:09,12,8380,37.632226,-122.35588100000001,small_red
concert;,2013-11-09 00:31:08,2013-11-10 00:05:54,27,8464,37.70813196,-122.51368188,small_red
festival;,2013-11-09 13:53:14,2013-11-10 00:10:35,10,8464,37.70813196,-122.51368188,small_red
football game;,2013-11-09 00:37:07,2013-11-09 21:57:33,22,5768,37.512249,-122.35505,small_red
shooting;,2013-11-09 01:14:09,2013-11-10 00:16:20,20,5796,37.566037,-122.515326,small_red
traffic;,2013-11-09 12:05:32,2013-11-09 20:30:50,11,5768,37.512249,-122.35505,small_red
weather;,2013-11-09 00:55:07,2013-11-10 00:13:28,33,5587,37.492948999999996,-122.506841,small_red
Tournament;,2013-11-10 10:01:39,2013-11-10 20:00:38,12,32400,32.528832,-124.482003,small_red
blocked;,2013-11-10 00:41:22,2013-11-10 23:17:23,13,8464,37.70813196,-122.51368188,small_red
concert;,2013-11-10 00:46:12,2013-11-11 00:13:16,41,8380,37.632226,-122.35588100000001,small_red
rain;,2013-11-10 01:43:15,2013-11-10 23:51:24,12,5768,37.512249,-122.35505,small_red
shooting;,2013-11-10 01:10:26,2013-11-10 22:07:53,13,8309,37.68203601,-122.47128396,small_red
traffic;,2013-11-10 01:06:39,2013-11-10 23:50:51,14,1107,37.053858,-122.588177,small_red
weather;,2013-11-10 02:16:06,2013-11-11 00:13:13,28,5768,37.512249,-122.35505,small_red
blocked;,2013-11-11 00:34:53,2013-11-11 23:26:30,14,5768,37.512249,-122.35505,small_red
concert;,2013-11-11 00:21:37,2013-11-12 00:09:11,43,5969,37.581612,-122.425448,small_red
rain;,2013-11-11 00:34:49,2013-11-11 23:47:25,16,8380,37.632226,-122.35588100000001,small_red
shooting;,2013-11-11 00:20:56,2013-11-11 23:31:41,11,8538,37.75222998,-122.47728192,small_red
